Kd_Prov,Provinsi,Persentase
11,Aceh,87,6620384853539
12,Sumatera Utara,89,6798339144218
13,Sumatera Barat,83,3711445796174
14,Riau,88,253521286166
15,Jambi,78,8638750092766
16,Sumatera Selatan,80,7814221871365
17,Bengkulu,62,4741810816188
18,Lampung,74,9690770329933
19,Kepulauan Bangka Belitung,75,0562465493302
21,Kepulauan Riau,90,4112005938442
31,DKI Jakarta,99,8395267077069
32,Jawa Barat,93,4153218797106
33,Jawa Tengah,94,0657247256433
34,D.I. Yogyakarta,96,0171096653956
35,Jawa Timur,95,5618711938722
36,Banten,92,8674429628199
51,Bali,97,363000506271
52,Nusa Tenggara Barat,94,1342856948184
53,Nusa Tenggara Timur,83,8746495305296
61,Kalimantan Barat,78,825241183241
62,Kalimantan Tengah,74,9060830140455
63,Kalimantan Selatan,70,3570304358326
64,Kalimantan Timur,85,50834142152
65,Kalimantan Utara,89,4996406303121
71,Sulawesi Utara,90,3079627054742
72,Sulawesi Tengah,84,5973460086791
73,Sulawesi Selatan,90,841168955172
74,Sulawesi Tenggara,92,4947869373455
75,Gorontalo,94,162574594249
76,Sulawesi Barat,72,7481545598688
81,Maluku,91,6761228142737
82,Maluku Utara,86,8957425621645
91,Papua Barat,79,5582606999069
94,Papua,62,7300422947226
